album_name,composer,director,orchestra,solist,instrument,obra_type,nota,obra_number,opus_number,cd_number
"AnOS DE PEREGRINAJE-1n SUIZA","LISZT, FRANZ - 1811/1886",,,"ROSE, JEROME","PIANO",,,,,,18,,,09/02/95
"MALAGUENA","ALBENIZ, ISAAC - 1860/1909","ALONSO, ODON","SINFONICA RTV ESPANOLA","YEPES, NARCISO","GUITARRA","DANZA","MI BEMOL MAYOR",1,165,,,96,199,09/01/94
"IBERIA","ALBENIZ, ISAAC - 1860/1909",,,"HELFFER, CLAUDE","PIANO","SUITE",,,0,,,118,,08/31/94
"ESPANOLA","ALBENIZ, ISAAC - 1860/1909",,,"DE LAROCHA, ALICIA","PIANO","SUITE",,,0,,,234,,08/31/94
"(SUECA) MIDSUMMER VIGIL","ALFVEN, HUGO - 1872/1960","FJELSTAD, OIVIN","SINFONICA DE VIENA",,,"RAPSODIA",,1,19,,,15,11,08/31/94
,"ALBINONI, TOMASO - 1671/1750","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"ADAGIO","SOL MENOR",,0,,,96,1,09/01/94
,"ALBINONI, TOMASO - 1671/1750",,"I MUSICI","CARMIRELLI, PINA","VIOLIN","ADAGIO","SOL MENOR",,0,30,,,,09/01/94
,"ALBINONI, TOMASO - 1671/1750","BEAUCAMP. ALBERT","DE CAMARA DE ROUEN","ANDRE, MAURICE","TROMPETA","CONCIERTO","RE MENOR",,0,,,81,109,09/01/94
,"ALCORTA, AMANCIO - 1805/1862",,"CAMERATA BARILOCHE",,,"MINUET",,,0,,,27,,09/01/94
,"ALBERDI, JUAN B. -1814/1884",,"CAMERATA BARILOCHE",,,"MINUET",,,0,,,27,,09/01/94
"GISELLE","ADAM, ADOLPHE - 1803/1856","KARAJAN, HERBERT VON","FILARMONICA DE VIENA",,,"BALLET",,,0,0,0,127,999,09/19/94
,"ARENSKY, ANTON S.- 1861/1906","CHERNUSHENKO, VLADISLAV","FILAR. DE LENINGRADO","STADLER, SERGEI","VIOLIN","CONCIERTO","LA MENOR",,54,,,246,,09/01/94
"BWV 866 A","BACH, JOHAN S.- 1685/1750",,,"KIPNIS, IGOR","CLAVECIN","PRELUDIUM","DO MAYOR",1,0,,,0,6,09/01/94
"DE BRANDENBURGO","BACH, JOHAN S.- 1685/1750","RICHTER, KARL","""BACH"" DE MUNICH",,,"CONCIERTO","SOL MAYOR",4,0,,,71,5,09/01/94
"NO ESTILO ITALIANO BWV 971","BACH, JOHAN S.- 1685/1750",,,"RICHTER, KARL","PIANO","CONCIERTO","FA MAYOR",,0,,,82,5,09/01/94
"BWV 590","BACH, JOHAN S.- 1685/1750",,,"RICHTER, KARL","PIANO","PASTORAL","FA MAYOR",,0,,,82,5,09/01/94
